SUBRGN,SRNAME,SRCO2RTA
AKGD,ASCC Alaska Grid,486.383
AKMS,ASCC Miscellaneous,228.216
AZNM,WECC Southwest,473.394
CAMX,WECC California,239.437
ERCT,ERCOT All,457.750
FRCC,FRCC All,458.896
HIMS,HICC Miscellaneous,522.551
HIOA,HICC Oahu,754.281
MROE,MRO East,756.696
MROW,MRO West,561.924
NEWE,NPCC New England,253.178
NWPP,WECC Northwest,295.382
NYCW,NPCC NYC/Westchester,288.402
NYLI,NPCC Long Island,534.483
NYUP,NPCC Upstate NY,133.657
RFCE,RFC East,343.907
RFCM,RFC Michigan,576.996
RFCW,RFC West,564.020
RMPA,WECC Rockies,620.415
SPNO,SPP North,640.638
SPSO,SPP South,566.238
SRMV,SERC Mississippi Valley,380.518
SRMW,SERC Midwest,731.466
SRSO,SERC South,494.137
SRTV,SERC Tennessee Valley,537.709
SRVC,SERC Virginia/Carolina,365.275
